SMILES,Actual Value,Predicted Value
CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](C1)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]12,5.09,4.695942
O=C(CC1CCC2(CC1)OOC1(CCCCC1)OO2)NCc1cccc(CNC(=O)CC2CCC3(CC2)OOC2(CCCCC2)OO3)c1,7.41,7.734336
C[C@H](Nc1ccnc2cc(Cl)ccc12)C(=O)NCCN1CCCCC1,7.19,6.5601063
Cc1ccccc1-c1cc2cc(O)ccc2n(O)c1=O,5.46,5.338395
CC(C)(C)c1ccc2c(c1)[C@H]1O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]1C[S@@+]2[O-],5.88,6.3458014
CN(C)c1cc[n+](Cc2ccc(Cn3cnc4c(SCc5ccccc5)ncnc43)cc2)cc1.[Br-],6.91,6.084442
Cc1ccc(C(=O)/C=C/c2ccc(C(=O)NCCCN(C)CCCNc3ccnc4cc(Cl)ccc34)cc2)o1,7.05,7.429785
O=C(Nc1ccc(O)cc1)c1c(N2CCCCC2)cc(-c2ccccc2)oc1=O,6.12,5.080674
O=c1c2c([nH]c3ccccc13)CN(Cc1ccc(Cl)c(Cl)c1)C2,7.16,6.516947
Cn1c(C(=O)O)c(CC(=O)NCC2COc3ccccc3O2)c2ccccc21,4.8,4.616881
Sc1n[nH]c(-c2cccc(Cl)c2)n1,5.45,5.389258
COC(=O)c1ccc(Oc2ccc3c(c2)B(O)OC3)nn1,7.0,8.549057
CCOC(=O)c1cn(C2CC2)c2cc(N3CCN(Cc4ccccc4)CC3)c(F)cc2c1=O,5.97,5.6850343
CCN(CC)CC(=O)c1ccc(-c2ccccc2)cc1,4.22,5.363184
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](OCCc1cn(Cc2ccccc2)nn1)c1ccnc2ccc(OC)cc12,7.52,6.7116537
O=C1Nc2ccccc2/C1=C1/SC(=S)N(NC(=O)c2cccc(O)c2)C1=O,4.4,4.807491
O=C(O)CC/C(=N/NC(=O)c1cccs1)c1ccccc1,4.44,4.5573845
O=c1c(-c2ccccc2C(F)(F)F)cc2ccccc2n1O,5.23,5.6028266
N#C/C(=C/c1cn(CC(=O)O)c2ccccc12)c1ccc(F)cc1,4.67,6.0693784
O=C(NCC1CCCO1)c1sc(=S)n2c1[nH]c(=O)c1ccc(C(=O)N3CCCCC3)cc12,4.18,5.1454134
Cc1cc(NC(=O)CCN2C(=O)C3C4CCC(C4)C3C2=O)c(C)cc1Br,4.87,5.721817
O=C(O)CSc1nc[nH]n1,6.7,5.624761
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)cc(-c2ccc(Cl)cc2)c1,7.38,6.999003
Cc1noc(NS(=O)(=O)c2ccc(N/C=C\C(=O)c3ccc4c(c3)OCO4)cc2)c1C,4.86,4.6045384
CC1=NNC(=O)C1CCC(=O)N/N=C/c1ccc(Cl)cc1,4.28,4.6177573
COc1ccc(Nc2[nH]cnc3ncnc2-3)cc1OC,4.31,4.438175
N=C1NC(c2ccccc2)(c2cccc(-c3cccnc3)c2)C(=O)N1C1CCCCC1,6.12,6.2711563
CCc1nnc(NS(=O)(=O)c2ccc(/N=C/c3c(C)[nH]n(-c4cccc(Cl)c4)c3=O)cc2)s1,4.95,5.2214894
NC(=O)c1c(NC(=O)C2CCCO2)sc2c1CCCCC2,4.23,4.6611648
CN(C)c1cc[n+](Cc2ccc(CCc3ccc(Cn4cnc5c(SCc6ccccc6)ncnc54)cc3)cc2)cc1.[Br-],7.04,6.0902386
CC1CC(=O)N(CC(=O)Nc2ccc3c(c2)OCO3)c2ccccc2S1,4.66,4.836899
COc1ccc(-c2cc(N3CCN(C)CC3)c(C(=O)Nc3ccc(O)cc3)c(=O)o2)cc1,5.8,4.703839
COc1cc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccc(C)cc3)C2=O)ccc1O,4.57,4.415242
CC(=O)c1ccc(OCCCC(=O)n2nnc3ccccc32)cc1,4.21,5.6104026
N#Cc1ccsc1NC(=O)CSc1nc[nH]n1,4.97,5.049791
Cc1onc(-c2ccccc2)c1C(=O)NNC(=S)NC(=O)c1ccc(F)cc1,4.1,5.1842995
CCCC/C=C/C=C/c1nc2ccccc2n2cccc12,5.2,4.9153066
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1cc(CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4[C@H](O)C[C@@H]5C[C@H](O)CC[C@]5(C)[C@H]4C[C@H](O)[C@]23C)nc2ccc(OC)cc12,5.74,6.4696236
S=C(NCCCNCCCCNCCCNC(=S)NCCC(c1ccccc1)c1ccccc1)NCCC(c1ccccc1)c1ccccc1,6.28,6.3196034
Cc1ccc(C(=O)/C=C/c2ccc(C(=O)N(C)CCCNc3ccnc4cc(Cl)ccc34)cc2)o1,6.43,6.6046476
O=C(/C=C/c1cccc(NC(=S)Nc2ccccc2)c1)C[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,5.03,5.0584087
CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](OC(C)=O)CO[C@H]1CC(=O)/C=C/c1cccc(NC(=O)Nc2ccccc2)c1,5.5,5.4024687
C/C(=N\NC(=O)Cc1c(C)n[nH]c1O)c1ccc2ccccc2c1,4.86,4.506274
Cc1ccc(/C=c2/sc3nnc(-c4ccccc4Cl)n3c2=O)o1,4.54,4.7131047
Oc1cc(CSc2ccccc2)nc(S)n1,4.9,5.010806
CCOc1ccc(OCc2cccc(C(=O)O)c2)cc1,4.61,5.555879
COC(=O)/C(C)=C/c1ccc(Oc2ccccc2N/C(=N/c2ccc(Cl)cc2)NCCCCNc2ccnc3cc(Cl)ccc23)cc1,7.01,7.333521
O=C(O)c1ccc(COc2ccc3ccccc3c2/C=C2/NC(=O)N(c3ccccc3)C2=O)cc1,4.61,4.918597
O=[N+]([O-])c1cc([N+](=O)[O-])c2cccnc2c1Oc1ccccc1O,5.49,5.6574435
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O.O=P(O)(O)O,6.96,5.2946224
COc1ccc(Oc2ccccc2N/C(=N/c2ccc(Cl)cc2)NCCCNc2ccnc3cc(Cl)ccc23)cc1,6.62,6.819549
Nc1nc2c(s1)C(=O)CC(c1ccccc1)C2,4.23,5.705952
Sc1n[nH]c(-c2ccccc2Br)n1,5.33,5.4539647
O=C(O)CC12CC3CC(C1)CC(n1ncc(NCc4ccc5c(c4)OCO5)c(Cl)c1=O)(C3)C2,4.39,5.203447
C[C@H]1[C@H](OC(=O)CCC(=O)O[C@@H]2O[C@@H]3O[C@@]4(C)CC[C@H]5[C@H](C)CC[C@@H]([C@H]2C)[C@@]35OO4)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,8.59,8.45542
O=C(CSc1nnc(NC2CCCCC2)s1)NN1C(=O)NC2(CCCCC2)C1=O,4.98,5.5914974
CC(C)(C)c1ccc(COc2ccsc2C(=O)O)cc1,4.94,6.8610435
Cc1ccc2[nH]c(C)c(/C=C3/C(=N)N4C(=NC3=O)SN=C4S(=O)(=O)C(C)C)c2c1,5.14,5.011006
N=C1NC(c2cccc(Cl)c2)(c2cccc(Cl)c2)C(=O)N1C1CCCCC1,5.97,6.0144267
O=c1[nH]c2cnc3ccc(-c4ccc(F)cc4)cc3c2n1-c1cccc(C(F)(F)F)c1,5.74,5.437721
CN(c1ccc(Cl)cc1)c1cc[n+](Cc2ccc(CCCCc3ccc(C[n+]4ccc(N5CCCC5)cc4)cc3)cc2)cc1.[Br-].[Br-],7.43,7.556275
COc1ccc(C2(c3cccc(-c4ccccn4)c3)NC(=N)N(C3CCCCC3)C2=O)cc1,5.74,6.260912
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](OCc1cn(Cc2ccccc2)nn1)c1ccnc2ccc(OC)cc12,6.1,6.303379
CCOC(=O)CSc1nc(O)c2sc(=S)n(-c3ccccc3)c2n1,4.45,5.5248337
O=C1NC(=O)N(Cc2ccccc2)C(=O)/C1=C\c1ccco1,4.21,4.549592
CCCSc1nnc(NC(=O)c2nc(SC)ncc2Cl)s1,4.47,4.8241477
CC(C)C[C@H](NC(=O)CN1CCC(O)CC1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCN=C1COc1ccc(F)cc1,5.0,4.857828
NC(=O)c1cnc(Oc2ccc3c(c2)B(O)OC3)cn1,6.46,6.4296694
N#CC1=C(N)Oc2[nH]nc(-c3ccccc3)c2C1c1cccnc1,4.22,4.219205
CC(C)(C)C(=O)NC(C(=O)NO)c1ccc(Br)cc1,6.77,5.4421554
O=C(O)Cn1nnnc1SCC(=O)Nc1ccc(OC(F)(F)F)cc1,5.28,5.157373
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](OCCc1cn(-c2ccc(OC)cc2)nn1)c1ccnc2ccc(OC)cc12,7.37,6.392552
COc1ccc(/C=C/c2ccc3cc(C(=O)Nc4cc(C(=O)Nc5cc(C(=O)NCCN6CCOCC6)n(C)c5)n(C)c4)ccc3n2)cc1,5.71,5.9881964
Cc1ccc(SCC(=O)c2c[nH]c3ccccc23)cc1,4.72,4.995824
Cc1ccc(Nc2nnc(SC/C(O)=C(\C#N)c3nc4ccccc4[nH]3)s2)c(C)c1,5.22,5.2642627
O=C1c2c(O)cc(O)cc2O[C@@]2(c3ccc(O)cc3)Oc3cc(O)c4c(c3[C@]12O)O[C@H](c1ccc(O)cc1)CC4,4.22,5.200243
CCOc1cc(/C=N/N=C(\N)CC(O)c2cccc3ccccc23)ccc1O,6.6,5.974342
CNC1=C([N+](=O)[O-])C(c2ccc(N3CCN(c4ccnc5cc(Cl)ccc45)CC3)cc2)c2c(C=O)c(C)cc(Cl)c2O1,5.63,5.4816813
COc1ccc(Cl)cc1NC(=O)Nn1cnnc1,6.08,5.2887273
CCCCn1cc(C(=O)OCC)c(=O)c2c3nc(-c4ccccc4)c(-c4ccccc4)nc3ccc21,5.04,4.823023
COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCN(C(=O)OC(C)(C)C)CC3)C2=O)cc1,6.36,4.8092613
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](OCc1cn(-c2ccc(OC)cc2)nn1)c1ccnc2ccc(OC)cc12,5.66,6.501095
O=c1[nH]c2cnc3ccccc3c2n1-c1cccc(C(F)(F)F)c1,5.13,5.641198
Cc1cccc(Nc2[nH]cnc3ncnc2-3)c1,4.15,4.363478
Cc1ccc(NCC(O)(c2ccc(Cl)cc2)c2nnn(Cc3ccccc3)c2-c2ccccc2)cc1C,5.59,5.57824
Cc1ccc(Nc2nnc(SCC(=O)c3cc4ccccc4o3)s2)cc1C,4.7,6.0333457
Cn1c(=O)n(-c2cccc(C(F)(F)F)c2)c2c3cc(-c4ccc(S(C)(=O)=O)cc4)ccc3ncc21,6.07,5.6417723
CCc1cccc(NC(=O)CSCc2cc(O)[nH]n2)c1,4.59,4.5504375
Oc1cc(-c2ccccc2)nc2nc(COc3ccccc3)nn12,5.12,5.627283
Cn1cc2c3cc(F)ccc3nc-2c2cc(Cl)ccc21,6.78,6.794851
CCOC(=O)ON(C)C(=O)CCC(c1ccc(F)c(F)c1)P(=O)(OCOC(=O)OC(C)(C)C)OCOC(=O)OC(C)(C)C,7.08,7.435309
CC(Sc1ccc2c(c1)OCCO2)C(=O)Nc1ncc(Cl)cc1Cl,5.42,6.11867
CC(=O)NC(C(=O)NO)c1ccc(-n2cccn2)cc1,6.21,5.8956323
COc1ccc(-c2cc(O)[nH]n2)cc1OC,5.11,4.443903
CCOc1ccc(NC(=O)CN2C(=O)CSC(C)C2=O)cc1,5.92,4.949028
Nc1ncnc2c1ncn2Cc1ccc(CCCCc2ccc(C[n+]3ccc(N4CCCC4)cc3)cc2)cc1.[Br-],6.34,7.2732444
COc1ccc2c(=O)c(C)c(-c3ccc(-c4ccc(Cl)c(Cl)c4)nc3)[nH]c2c1,6.7,7.6602616
CCN(CC)CCCNC(=O)[C@H](C)Nc1ccnc2cc(Cl)ccc12,7.08,7.085333
O=C(N/N=C/c1ccc(O)c(O)c1)N/N=C/c1ccc(O)c(O)c1,5.55,5.444673
C[C@H](Nc1ccnc2cc(Cl)ccc12)C(=O)N1CCN(C)CC1,7.13,6.9940205
O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,5.26,5.8346815
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],5.19,5.714627
CCCCOc1ccc(C(=O)NOCCCCCC(=O)NO)cc1,6.77,6.651203
O=C(NCCc1c[nH]c2ccccc12)OCCSS(=O)(=O)[O-].[Na+],4.66,4.744918
CC(CCc1sccc1N=Nc1c(O)ccc2ccccc12)CC(=O)O,4.73,5.245083
Cc1c(O)n(-c2ccccc2)c(SCC(=O)Nc2ccc3c4c(cccc24)CC3)nc1=O,5.29,5.6381392
Cc1cc(/C=C(/C#N)c2nc3ccccc3[nH]2)c(C)n1-c1cc(C(=O)O)cc(C(=O)O)c1,4.37,5.7755656
O=C(O)c1cccc(Cn2c(Cl)c(/C=N/NC(=O)c3ccccc3)sc2=O)c1,4.68,4.9028354
CC(C)(C)C(=O)NC(C(=O)NO)c1ccc(-c2ccccc2)cc1,7.02,6.3112373
O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12,5.13,6.167129
COc1cccc(-c2[nH]nc3c2C(c2ccoc2)C(C#N)=C(N)O3)c1,4.12,4.4768343
CCOC(=O)C1CSC(CC(=O)Nc2ccc(OCC)cc2)C(=O)N1,4.94,4.9282684
CC(C)(C)C(=O)NC(C(=O)NO)c1ccc(-c2c(F)cccc2F)cc1,6.85,6.8796086
O=C(O)C1CC=CCC1C(=O)Nc1cccc(Cl)c1,5.21,4.8998094
COc1cc([N+](=O)[O-])ccc1NC(=O)Nn1cnnc1,6.45,5.492803
Cc1ccc(NC(=O)CSc2ncc(S(=O)(=O)c3ccccc3)c(O)n2)cc1C,5.34,4.7618585
CC(=O)OC[C@H]1O[C@@H](CC(=O)/C=C/c2cccc(NS(=O)(=O)c3ccc(C)cc3)c2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,5.94,5.390812
CC[C@@H](C)[C@@H](C(=O)N1CCN(C(=O)[C@H]([C@H](C)CC)N2C(=O)c3ccccc3C2=O)CC1)N1C(=O)c2ccccc2C1=O,5.22,4.9818068
O=C(CN1C(=O)c2ccccc2S1(=O)=O)NCCSCc1ccco1,4.79,5.9364924
O=C(CSCc1ccc(F)cc1)c1c[nH]c2ccccc12,4.24,5.598526
CCOC(=O)c1cccc(NC(=O)CSc2nc(N)cc(N)n2)c1,4.86,5.1353292
Cl.Cn1cc(CCN)c2c1C(=O)C1=C(NC=CS1(=O)=O)C2=O,6.38,6.8639774
O=C(CSc1ccc(Br)cc1)c1c[nH]c2cc(F)ccc12,5.89,5.637756
O=C(O)C1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,4.32,5.552079
COc1ccc(/C(C)=C2\SC(=S)N(CCC(=O)O)C2=O)cc1,4.52,4.374362
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.O.O.O=S(=O)(O)O,6.82,7.1930413
Clc1cc(NCCCN2CCCCC2)c2cc3c(nc2c1)c1cc(Cl)ccc1n3CCN1CCCC1,6.18,6.4547124
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](OC(=O)C(C)NC(=O)c1cn(CC)c2cc3c(cc2c1=O)OCO3)c1ccnc2ccc(OC)cc12,7.92,6.623687
COc1cccc2c(=O)n(CC(=O)N3CCC(C)CC3)ccc12,4.37,5.8075967
CCCC1CCc2nc3ccc(Cl)cc3c(N)c2C1,6.68,6.0931826
COc1ccc(CN(C)C(=O)n2cnc(S(=O)(=O)[C@@H]3C[C@H]4CC[C@@H]3C4)n2)cc1,8.0,7.2093835
Cc1ccccc1C(=O)NCC(=O)NNC(=S)NC(=O)c1ccccc1,4.32,5.0644727
Cc1ccccc1-c1cc2cc(F)ccc2n(O)c1=O,5.32,5.3650594
CN1CCN(C(=O)CCCNc2ccnc3cc(Cl)ccc23)CC1,7.19,7.0910063
Cc1csc(SC(C)C(=O)Nc2ccc(Cl)cn2)n1,5.18,5.7515965
CCOC(=O)CC(=O)CSc1nc(O)c2sc(=S)n(-c3ccccc3)c2n1,4.39,4.9176702
CC(C)N(C)C(=O)n1cnc(S(=O)(=O)C2CCCCC2)n1,7.55,6.595173
CCOc1cc(/C=C(/C#N)c2ccc(F)cc2)ccc1OCc1ccc(C(=O)O)o1,4.63,4.632766
COc1ccccc1N1CCN(C(=O)CSc2nc(O)cc(-c3ccccc3)n2)CC1,4.8,5.540089
Cc1ccc(NC(=O)CSc2nnc(NC(=O)CN3CCOCC3)s2)cc1,5.04,4.919962
O=C(N1CCCCC1)n1cnc(S(=O)(=O)[C@@H]2C[C@H]3CC[C@@H]2C3)n1,6.2,6.58275
N#CC1=C(N)Oc2[nH]nc(-c3ccc(F)cc3)c2C1c1ccncc1,4.03,4.398705
O=C(/C=C/c1ccccc1)N[C@@H](CCCCCC(=O)NO)C(=O)Nc1cccc2cccnc12,7.89,5.2321954
O=C(NCc1cccs1)N[C@@H](Cc1ccccc1)C(=O)O,4.24,4.584479
CC1=C(CCCCC(=O)O)C(=O)c2c(O)cccc2C1=O,5.6,4.5815544
CC1(CCC(=O)Nc2cccc(NC(=O)CCC3(C)OOC4(CCCCC4)OO3)c2)OOC2(CCCCC2)OO1,6.51,7.18813
OC(CNc1ccc(Br)cc1)(c1ccc(Cl)cc1)c1nnn(Cc2ccccc2)c1-c1ccccc1,5.71,5.6535296
CC(C)(C)C(=O)NC(C(=O)NO)c1ccc(-c2ccsc2)cc1,6.99,5.5200386
Cc1ccc(NC(=O)Cn2nc(C)c3ccccc3c2=O)cc1F,4.85,4.977677
CCOC(=O)NC(=O)COC(=O)c1ccc(Sc2nc[nH]n2)c([N+](=O)[O-])c1,6.21,5.3234386
CC1=C(CCCCCC(=O)O)C(=O)c2c(O)cccc2C1=O,5.89,4.485836
O=C(O)C1CCCCC1C(=O)Nc1ccc2c(c1)OCCO2,4.48,4.488352
CNC(=O)c1cnc(Oc2ccc3c(c2)B(O)OC3)cn1,6.5,6.60543
Nc1ccc(SCC(=O)c2c[nH]c3ccccc23)cc1,4.7,6.2350693
CCC/C=C/C=C/c1nc2ccccc2n2cccc12,5.6,4.896411
Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Nc3ccc4c(c3)OCO4)cc2)no1,4.88,4.924901
Cc1c(O)c(S(=O)(=O)c2ccccc2)c(=O)n(-c2ccccc2)c1-c1ccccc1,5.0,5.2785397
Cc1ccc(NC(=O)c2cc(NC(=O)CCC(=O)O)ccc2N2CCCCC2)cc1,4.93,4.570732
COC(=O)c1c(NC(=O)C2CC=CCC2C(=O)O)sc(C)c1C,5.37,5.158725
Oc1ccc(-c2csc(-c3cccnc3)n2)cc1O,5.74,4.8056054
O=C(COc1ccccc1)NNC(=S)NC(=O)c1ccccc1,5.04,4.6368318
C[C@H](CCCN1CCCCC1)Nc1ccnc2cc(Cl)ccc12,7.28,7.83482
O=C(NCCCNCCCCCNCCCNC(=O)NCCC(c1ccccc1)c1ccccc1)NCCC(c1ccccc1)c1ccccc1,7.52,6.8290677
O=C(CC(Nc1cccc(Cl)c1Cl)C(=O)O)c1ccccc1,4.85,4.822394
O=C(Nc1c(C(=O)O)oc2ccc(Br)cc12)c1ccccc1,5.27,5.422574
C[C@H]1[C@H](OC(=O)CCC(=O)NCCCCCCCCNC(=O)CCC(=O)O[C@@H]2O[C@@H]3O[C@@]4(C)CC[C@H]5[C@H](C)CC[C@@H]([C@H]2C)[C@@]35OO4)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,9.52,8.821034
O=C(Nc1nc(=O)n(C(=O)C2CC2)s1)c1ccccc1,4.39,4.6574225
Cn1cc2c3cc(Cl)ccc3nc-2c2cc(Cl)ccc21,6.76,7.069635
O=C(Nc1ccc(C(=O)O)cc1)Nc1cccc([N+](=O)[O-])c1,4.79,5.316392
[Br-].c1ccc(CSc2ncnc3c2ncn3Cc2ccc(C[n+]3ccc(N4CCCC4)cc3)cc2)cc1,6.39,6.166459
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,4.72,4.207989
S=C(NCCCNCCCCCNCCCNC(=S)NCCC(c1ccccc1)c1ccccc1)NCCC(c1ccccc1)c1ccccc1,7.12,6.4245734
O=C(NCCCNCCCNCCCNC(=O)NCCC(c1ccccc1)c1ccccc1)NCCC(c1ccccc1)c1ccccc1,6.18,7.1868153
CN(C)c1cc[n+](Cc2ccc(CCc3ccc(C[n+]4ccc(N5CCCC5)cc4)cc3)cc2)cc1.[Br-].[Br-],8.52,8.397647
COc1nccnc1NS(=O)(=O)c1ccc(/N=C/c2c(C)[nH]n(-c3ccccc3)c2=O)cc1,4.46,4.745489
CC(C)=CCC/C(C)=C/COCCOC1C2CC3CC(C2)CC1C3,4.62,5.55723
CCc1c(C)nc(SCC(=O)Nc2ccc3c(c2)OCCO3)nc1O,4.99,4.6914372
CC[C@@H](C)[C@@H](C(=O)N1CCOCC1)N1C(=O)c2ccccc2C1=O,4.22,4.4002676
CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)CNC(C)(C)c2cccc(OC)c2)cc(N2CCCCS2(=O)=O)c1,6.7,8.4703865
CN(Cc1cccnc1)C(=O)n1cnc(S(=O)(=O)[C@@H]2C[C@H]3CC[C@@H]2C3)n1,7.07,6.3362947
O=C(O)c1cccc(S(=O)(=O)Nc2ccc(O)cc2Sc2nc3ccccc3s2)c1,5.04,5.16056
CCN(CC)CCNc1cc(Cl)cc2nc3c4ccccc4n(CCN4CCCC4)c3cc12,6.18,6.528601
O=C(NCc1ccco1)C(=O)c1cn(CC(=O)N2CCCCCC2)c2ccccc12,4.94,4.9420047
Cc1ccc(Nc2nnc(SCC(=O)NC(Cc3c[nH]c4ccccc34)C(=O)O)s2)cc1,5.49,5.21037
C=CCn1c(SCC(=O)c2ccc(NS(=O)(=O)c3ccccc3)cc2)nnc1-c1cccs1,4.83,5.6541743
CC(C)OC(=O)OCOP(=O)(OCOC(=O)OC(C)C)C(CCC(=O)N(C)O)c1ccc(F)c(F)c1,8.1,7.4412613
O=[N+]([O-])C1=C(NCCc2ccccc2)Oc2ccccc2C1c1ccc(N2CCN(c3ccnc4cc(Cl)ccc34)CC2)cc1,5.48,5.5623474
CN(C)c1cc[n+](Cc2ccc(CCCCc3ccc(Cn4cnc5c(SCc6ccccc6)ncnc54)cc3)cc2)cc1.[Br-],6.3,6.233633
CC(C)=CCC/C(C)=C/COc1ccc(/C=C/C(=O)c2ccc(O)cc2O)cc1,5.43,5.9010506
O=C(CC1CCC2(CC1)OOC1(CCCCC1)OO2)NCCCCNC(=O)CC1CCC2(CC1)OOC1(CCCCC1)OO2,7.54,7.4908347
O=C(O)CCCCCNC(=O)Nc1ccc2c(c1)OCCO2,5.26,5.273323
Cc1ccccc1-c1cc2ccccc2n(O)c1=O,5.52,5.4278297
C[C@@H](CCCN(C)C)Nc1ccnc2cc(Cl)ccc12,7.77,8.199093
CC(C)[C@H](CC(=O)N1CCN(C)CC1)Nc1ccnc2cc(Cl)ccc12,7.36,7.2358246
O=C(CNc1ccc(Cl)cc1)c1c[nH]c2ccccc12,4.54,5.5149627
CC(C)(N)COC(=O)c1cnc(Oc2ccc3c(c2)B(O)OC3)cn1,6.6,4.818713
CCN1C(=O)N(CCC(C)C)C2(CCN(Cc3cccc(OC)c3)CC2)C1=O,4.8,4.9369736
